ADS "Adidas"
ERT "ELECTRONIC ARTS INC"
KHNZ "KRAFT HEINZ CO/THE"
BOY "BODYCOTE PLC"
12DA "DELL TECHNOLOGIES -C"
2OY "DOW INC"
MTLA "MOTOROLA SOLUTIONS INC"
TNE2 "TELEFONICA SA-SPON ADR"
HMSB "HENNES & MAURITZ AB-B SHS"
XCA "CREDIT AGRICOLE SA"
NEF "NESTE OYJ"
7HP "HP INC"
BCY "BARCLAYS PLC"
TNE5 "TELEFONICA SA"
EBA "EBAY INC"
TCO "TAUBMAN CENTERS INC"
NGLD "NEVADA CANYON GOLD CORP"
NGLB "ANGLO AMERICAN PLC"
CIT "CITY DEVELOPMENTS LTD"
PCX "PAYCHEX INC"
OPC "OCCIDENTAL PETROLEUM CORP"
RDO "SIRIUS XM HOLDINGS INC"
VFP "VF CORP"
CBHD "COLOPLAST-B"
ZIM "ZTS INMART A.S."
TGR "TIGER INTL RESOURCES INC"
ERCG "ERICSSON LM-A SHS"
ASG "ASSICURAZIONI GENERALI"
FMC1 "FORD MOTOR CO"
TWR "TOWER LTD"
2FE "FERRARI NV"
IGY null
ERCB "ERICSSON LM-B SHS"
639 "SHOUGANG FUSHAN RESOURCES GR"
RYS1 "NATWEST GROUP PLC"
ETY "ENTERGY CORP"
CRIN "UNICREDIT SPA"
AWC "ALUMINA LTD"
BSP "BAE SYSTEMS PLC"
KLA "KLA CORP"
ERCA "ERICSSON (LM) TEL-SP ADR"
SGM "SIGMA CAPITAL GROUP PLC"
SWN "SOUTHWESTERN ENERGY CO"
F03 "Generic 3rd 'F0' Future"
HO7 "HORMEL FOODS CORP"
PAE "PAE LTD"
WMB "WIDETECH (MALAYSIA) BHD"
FMEN "FRESENIUS MEDICAL CARE AG &"
VRS "VERIS LTD"
RWEA "RWE AKTIENGESELLSCHAF-SP ADR"
HNR1 "HANNOVER RUECK SE"
MCP "MCPHERSON'S LTD"
RWL "ROCKWELL AUTOMATION INC"
AKX "ANSYS INC"
KEL "K-ELECTRIC LTD"
SYP "SYNOPSYS INC"
ADM "ARCHER-DANIELS-MIDLAND CO"
NOAA "NOKIA CORP-SPON ADR"
SCT "SUPERCOMNET TECHNOLOGIES BHD"
AXP "AXEL POLYMERS LTD"
C9F "CHIPOTLE MEXICAN GRILL INC"
SGE "STRATEGEM CAPITAL CORP-A"
SWF "STANLEY BLACK & DECKER INC"
WHC "WEYERHAEUSER CO"
VWSA "VESTAS WIND SYSTEMS-UNSP ADR"
XIX "XILINX INC"
DC7 "DISCOVER FINANCIAL SERVICES"
VWS "VESTAS WIND SYSTEMS A/S"
FAS "FIDELITY ASIAN VALUES PLC"
POH1 "CARNIVAL PLC"
DP4B "AP MOLLER-MAERSK A/S-B"
GOB "GLOBAL ORIENTAL BHD"
FOT "FORTUM OYJ"
ITB "IMPERIAL BRANDS PLC"
CDS "CADENCE DESIGN SYS INC"
1SI "SNAP INC - A"
HFF "HARTFORD FINANCIAL SVCS GRP"
2FI "FIAT CHRYSLER AUTOMOBILES NV"
GLW "CORNING INC"
CXU "CHURCH & DWIGHT CO INC"
DT3 "DOLLAR TREE INC"
SFE "SAFEGUARD SCIENTIFICS INC"
A4S "AMERIPRISE FINANCIAL INC"
OEWA "VERBUND AG"
EOT "EATON VANCE NATIONAL MUNICIP"
BTQ "BT GROUP PLC"
WDC "WESTERN DIGITAL CORP"
AWM "SKYWORKS SOLUTIONS INC"
HNIB null
VVD "VEOLIA ENVIRONNEMENT"
AHC "AIKCHOL HOSPITAL PUBLIC CO"
PEU "PEUGEOT SA"
REP "REPSOL SA"
RPL "UPM-KYMMENE OYJ"
WDI "WHITE ORGANIC AGRO LTD"
KBX "KNORR-BREMSE AG"
CSC "CROWN SEAL PUBLIC CO LTD"
2HP "HEWLETT PACKARD ENTERPRISE"
MXI "MAXITRANS INDUSTRIES LTD"
BYG "BIG YELLOW GROUP PLC"
SRT "SARTORIUS AG"
XY6 "XYLEM INC"
AK3 "AKAMAI TECHNOLOGIES INC"
FPMB "FREEPORT-MCMORAN INC"
CAR "CARREFOUR SA"
ARRJ "ARCELORMITTAL-NY REGISTERED"
INP "INTL PAPER CO"
ARRD "ARCELORMITTAL"
RY4C "RYANAIR HOLDINGS PLC"
HLAG "HAPAG-LLOYD AG"
SY1 "SYMRISE AG"
DC6 "DISCOVERY INC - A"
CYT "CENTURYLINK INC"
OMV "OMV AG"
EBK "ENBW ENERGIE BADEN-WUERTTEMB"
SII "SOCIETE POUR L'INFORMATIQUE"
E3X1 "EXPEDIA GROUP INC"
HAL "HAL TRUST"
CTX "CITRIX SYSTEMS INC"
EBO "ERSTE GROUP BANK AG"
DUL "ALNYLAM PHARMACEUTICALS INC"
DC6C "DISCOVERY INC-C"
HO1 "HOLOGIC INC"
3LN "LIVE NATION ENTERTAINMENT IN"
JM2 "JM SMUCKER CO/THE"
ALU2 "S.C ALUMIL ROM INDUSTRY SA"
WB2 "WABTEC CORP"
EVK "EVER-GLORY INTERNATIONAL GRO"
EW1 "EXPEDITORS INTL WASH INC"
LY0 "LYFT INC-A"
2QO "QORVO INC"
AES "AES CORP"
PUM "PUMA SE"
TLX "TALEX"
UN01 "UNIPER SE"
GTQ1 "SIEMENS GAMESA RENEWABLE ENE"
AOMD "ALSTOM"
MGG "MINAURUM GOLD INC"
TQIR "TELECOM ITALIA-RSP"
INR "INDITALIA REFCON LTD"
WYR "WYNN RESORTS LTD"
68V "BAKER HUGHES CO"
TQI "TELECOM ITALIA SPA"
ZAL "ZALUUCHUUD JSC"
AT1 "Generic 1st 'AT' Future"
SZ1 "Generic 1st 'SZ' Future"
KPN "KONINKLIJKE KPN NV"
NVJP "UMICORE"
DY2 "DENTSPLY SIRONA INC"
8TRA "TRATON SE"
NTA "NETAPP INC"
AXJ "EQUITABLE HOLDINGS INC"
AFX "AFRICAN OXYGEN LTD"
W3U "WESTERN UNION CO"
CH1A "C.H. ROBINSON WORLDWIDE INC"
QIA "QIAGEN N.V."
2FB "FORTUNE BRANDS HOME & SECURI"
6LA "LAMAR ADVERTISING CO-A"
LEG "LEGEND MINING LTD"
HS2 "HENRY SCHEIN INC"
NRA "NRG ENERGY INC"
1WR "WESTROCK CO"
WHR "WHIRLPOOL CORP"
PMTA "PTC INC"
RNL1 "RENAULT SA-UNSP ADR"
RNL "RENAULT SA"
A1G "AMERICAN AIRLINES GROUP INC"
RAA "RATIONAL AG"
O2D "TELEFONICA DEUTSCHLAND HOLDI"
TMV "DRX DLY 20+ YR TREAS BEAR 3X"
SPR "AXEL SPRINGER SE"
JNP "JUNIPER NETWORKS INC"
NEM "NEWMONT CORP"
BNR "BRENNTAG AG"
FFV "F5 NETWORKS INC"
DWS "DWS LTD"
MAN "MAN SE"
G24 "SCOUT24 AG"
XER2 "XEROX HOLDINGS CORP"
AENF "AEGON N.V.-NY REG SHR"
CO3A "COTY INC-CL A"
AEND "AEGON NV"
KIN2 "KINROSS GOLD CORP"
HOT "HOCHTIEF AG"
O5G "CPI PROPERTY GROUP SA"
RAW "RAIFFEISEN BANK INTERNATIONA"
LTD "L BRANDS INC"
RRTL "RTL GROUP"
02M "MOSAIC CO/THE"
CIE1 "CIENA CORP"
KGX "KION GROUP AG"
LU2 "Generic 2nd 'LU' Future"
SC2 "NUANCE COMMUNICATIONS INC"
O5Q "OWENS CORNING"
690D "HAIER SMART HOME CO LTD-D"
0Q3 "BEYOND MEAT INC"
U9R "UNDER ARMOUR INC-CLASS A"
UTDI "UNITED INTERNET AG-REG SHARE"
FIE "FIELMANN AG"
BC8 "BECHTLE AG"
FRA "FRAPORT AG FRANKFURT AIRPORT"
2XT "DXC TECHNOLOGY CO"
PES "PEARSON PLC"
EJT1 "EASYJET PLC"
TA1 "TELEKOM AUSTRIA AG"
EVD "CTS EVENTIM AG & CO KGAA"
KFI1 "KINGFISHER PLC"
FPE "FUCHS PETROLUB SE"
CR6 "CREE INC"
OSRD "OSRAM LICHT AG"
OSR "OSRAM LICHT AG"
B4B "METRO AG"
F3A "FIRST SOLAR INC"
G1A "GEA GROUP AG"
HN9 "HANESBRANDS INC"
SAX "STROEER SE & CO KGAA"
HAR "HARMONY GOLD MINING CO LTD"
HFG "HILTON FOOD GROUP PLC"
LXS "LANXESS AG"
HLE "HELLA GMBH & CO KGAA"
GLJ "GRENKE AG"
MTT "MAGNA TERRA MINERALS INC"
TUI1 "TUI AG-DI"
GYC "GRAND CITY PROPERTIES"
9LG null
RNY "RNY PROPERTY TRUST"
VAS "VOESTALPINE AG"
DRI "DARDEN RESTAURANTS INC"
EVTA "EVOTEC AG - SPON ADR"
EVT "EVENT HOSPITALITY AND ENTERT"
FDO "MACY'S INC"
SIX2 "SIXT SE"
RHM "RHEINMETALL AG"
BIRG "BANK OF IRELAND GROUP PLC"
MOR "MAURITIUS OIL REFINERIES LTD"
TEG "TAG IMMOBILIEN AG"
GIL "DMG MORI AG"
WCH "WACKER CHEMIE AG"
AZ2 "ANDRITZ AG"
VAR1 "Generic 1st 'VAR' Future"
T6A "TRIPADVISOR INC"
SZU "SUEDZUCKER AG"
COP "COMPUGROUP MEDICAL SE & CO K"
TLG "TALGA GROUP LTD"
RKET "ROCKET INTERNET SE"
BOSS "HUGO BOSS AG -ORD"
IMO1 "IMMOFINANZ AG"
WIB "WIENERBERGER AG"
UN9 "UNIQA INSURANCE GROUP AG"
WAF "SILTRONIC AG"
DQW1 "AMS AG"
PSM "PASARI SPINNING MILLS LTD"
FNTN "FREENET AG"
2CU "CHEMOURS CO/THE"
SOW "SOFTWARE AG"
185 "ZENSUN ENTERPRISES LTD"
DMP "DOMINO'S PIZZA ENTERPRISES L"
DLG "DIALOG SEMICONDUCTOR PLC"
GXI "GERRESHEIMER AG"
HYQ "HYPOPORT SE"
O3P "OESTERREICHISCHE POST AG"
PAT "PATRIZIA AG"
T1L "S IMMO AG"
NDA "AURUBIS AG"
COM "CNIM GROUP"
UOF "URBAN OUTFITTERS INC"
MVV1 "MVV ENERGIE AG"
KRN "KRONES AG"
COK "CANCOM SE"
DUE "DUERR AG"
KWS "KWS SAAT SE & CO KGAA"
PBB "DEUTSCHE PFANDBRIEFBANK AG"
WUW "WUESTENROT & WUERTTEMBERG"
LEN "LENZING AG"
5FB "FITBIT INC - A"
FMV "FIRST MAJESTIC SILVER CORP"
ARL "ASTRAL FOODS LTD"
CAP "CAPGEMINI SE"
CEC "CAIXA ECONOMICA DE CABO VERD"
HHFA "HAMBURGER HAFEN UND LOGISTIK"
RIB "REDTONE INTERNATIONAL BHD"
DEQ "DEUTSCHE EUROSHOP AG"
CVA "COVANTA HOLDING CORP"
PFV "PFEIFFER VACUUM TECHNOLOGY"
DIC "DUBAI INVESTMENTS PJSC"
SANT "S&T AG"
NWO "NUWAY ORGANIC NATURALS INDIA"
PLUN "PLUG POWER INC"
HCL "HECLA MINING CO"
I8R "IROBOT CORP"
RHK "RHOEN-KLINIKUM AG"
USX1 "UNITED STATES STEEL CORP"
JEN "JENOPTIK AG"
ADJ "ADLER GROUP SA"
ODP "ODP CORP/THE"
NDX1 "NORDEX SE"
KU2 "KUKA AG"
STM "STMICROELECTRONICS NV-NY SHS"
BBY "BEST BUY CO INC"
2HQ "TILRAY INC-CLASS 2 COMMON"
AIXA "AIXTRON SE"
ISR "ISRA VISION AG"
GBF "BILFINGER SE"
30L3 "SOLUTIONS 30 SE"
S92 "SMA SOLAR TECHNOLOGY AG"
BYW "BAYWA AG"
SYV "3D SYSTEMS CORP"
PMAG "PIERER MOBILITY AG"
BFSA "BEFESA SA"
CDM1 "COEUR MINING INC"
BYW6 "BAYWA-BAYERISCHE WARENVERMIT"
INS "INSAS BHD"
NOEJ "NORMA GROUP SE"
YSN "SECUNET SECURITY NETWORKS AG"
CCAP "QALAA HOLDINGS SAE"
CC1 "Generic 1st 'CC' Future"
VIH1 "VIB VERMOEGEN AG"
GBY "GRAND BANKS YACHTS LTD"
CE2 "CROPENERGIES AG"
WAC "WACKER NEUSON SE"
HBH "HORNBACH HOLDING AG & CO KGA"
AR4 "Generic 4th 'AR' Future"
USY1 "UNISYS CORP"
NBG6 "NUERNBERGER BETEILIG-AKT 'B'"
SZG "SALZGITTER AG"
EUZ "ECKERT & ZIEGLER STRAHLEN UN"
INH "INDUS HOLDING AG"
TTK "TTK BANKA AD SKOPJE"
SBS "CIA SANEAMENTO BASICO DE-ADR"
ADL "ADLER REAL ESTATE AG"
GTY "GETTY REALTY CORP"
WEG1 "WESTGRUND AG"
BIO "BIOTEST AG"
MUM "MENSCH UND MASCHINE SOFTWARE"
CWC "CEWE STIFTUNG & CO KGAA"
IMU "IMUGENE LTD"
ZO1 "ZOOPLUS AG"
DRW8 "DRAEGERWERK AG"
BVB "BURSA DE VALORI BUCURESTI SA"
AAD "AMADEUS FIRE AG"
AOF "ATOSS SOFTWARE AG"
GWD "COVIVIO OFFICE AG"
WSU "WASHTEC AG"
SAE "SABLE RESOURCES LTD"
VBK "VANGUARD SMALL-CAP GRWTH ETF"
VOS "VOSSLOH AG"
MDN "MEDION AG"
WCMK "WCM BETEILIGUNGS & GRUND AG"
AUS "AUSTRIA TECHNOLOGIE & SYSTEM"
OHB "OHRIDSKA BANKA AD SKOPJE"
HG1 "HOMAG GROUP AG"
NXU "NEXUS AG"
FTK "FLOTEK INDUSTRIES INC"
HBM "HORNBACH BAUMARKT AG"
LPK "LPKF LASER & ELECTRONICS"
DMRE "DEMIRE DT MTS REAL ESTATE AG"
SLL "STANDARD LITHIUM LTD"
5G5 "GOPRO INC-CLASS A"
MLP "MAUI LAND & PINEAPPLE CO"
C6O "CLOVIS ONCOLOGY INC"
MUB "MUEHLBAUER HOLDING AG"
PBY "WHEAT SPOT PESOS IMMED"
KCO "KLOECKNER & CO SE"
KSB "KSB SE & CO KGAA"
DBAN "DEUTSCHE BETEILIGUNGS AG"
ABS2 "PORR AG"
DEZ "DEUTZ AG"
TIMA "ZEAL NETWORK SE"
ILM1 "MEDIOS AG"
ST5 "STEICO SE"
DBD "DIEBOLD NIXDORF INC"
D6H "DATAGROUP SE"
1FC "FACC AG"
JST "JIMS JSC"
BDT "BERTRANDT AG"
CS1 "AMUNDI ETF MSCI SPAIN UCITS"
SHF "SNP SCHNEIDER-NEUREITHER & P"
TGHN "LOGWIN AG"
BSL "BASLER AG"
SGL "SGL CARBON SE"
ELG "ELMOS SEMICONDUCTOR SE"
SNH "SHANKH JSC"
PCZ "PROCREDIT HOLDING AG & CO KG"
UBK "UMWELTBANK AG"
SIS "SAVARIA CORP"
SISV null
LNSX "SIXT LEASING SE"
US8A "MCEWEN MINING INC"
ZIL2 "ELRINGKLINGER AG"
SKB "KOENIG & BAUER AG"
AEIN "ARAB ELECTRICAL INDUSTRIES"
BIJ "BIJOU BRIGITTE MODI ACCESS"
TC1 "TELE COLUMBUS AG"
SUR "SURGE EXPLORATION INC"
PNE3 "PNE AG"
ADN1 "ADESSO SE"
T9Z "ZUMTOBEL GROUP AG"
PSAN "PSI SOFTWARE AG"
LO24 "LOTTO24"
GFG "GFG RESOURCES INC"
GMM "GMM PFAUDLER LTD"
MBB "MBB SE"
ADV "ARDIDEN LTD"
EKT "ENERGIEKONTOR AG"
NB2 "Generic 2nd 'NB' Future"
GFT "GFT TECHNOLOGIES SE"
A4Y "'IR' 4 YR SPOT STRIP"
UZU "UZIN UTZ AG"
LEO "LEONI AG"
B8A "BAVARIA INDUSTRIES GROUP AG"
IFA "IFA HOTEL & TOURISTIK AG"
FAA "FABASOFT AG"
NTG "TORTOISE MIDSTREAM ENERGY"
SLT "SCHALTBAU HOLDING AG"
TPE "PVA TEPLA AG"
ACX "ACERINOX SA"
KSC "K & S CORP LTD"
HAW "HAWESKO HOLDING AG"
M12 "Generic 2nd 'M1' Future"
DFV "DFV DEUTSCHE FAMILIENVERSICH"
FQT "FREQUENTIS AG"
ROI "ROUTE1 INC"
MED "MEDICLIN AG"
FYB "FORMYCON AG"
ED4 "Generic 4th 'ED' Future"
IVU "IVU TRAFFIC TECHNOLOGIES AG"
HLG "HONG LEONG CAPITAL BHD"
O4B "OVB HOLDING AG"
MCD "MCDONALD'S CORP"
SFQ "SAF-HOLLAND SE"
IXX "TRAFFIC SYSTEMS SE"
B5A "BAUER AG"
HDD "HARDIDE PLC"
ETG "EATON VANCE T/A GL DVD INCM"
ASL "ABERFORTH SMALLER COS-ORD"
2EM "ERGOMED PLC"
HRPK "7C SOLARPARKEN AG"
A1OS "ALL FOR ONE GROUP SE"
FRU "FREEHOLD ROYALTIES LTD"
HNL "DR HOENLE AG"
2GB "2G ENERGY AG"
LEI "LEIFHEIT AG"
CEV "CEVASA-CIA ESPANOL DE VIV-"
B8F "BIOFRONTERA AG"
ACT "ALZCHEM GROUP AG"
GSC1 "GESCO AG"
2HRA "H&R GMBH & CO KGAA"
RSL2 "R STAHL AG"
NFN "NFON AG"
CYR "CYAN AG-NEW"
SMHN "SUESS MICROTEC SE"
MUX "MCEWEN MINING INC"
H5E "HELMA EIGENHEIMBAU AG"
AAG "HGH HOLDINGS LTD"
BNN "BIOTECHNOLOGY RESEARCH & INF"
AM3D "SLM SOLUTIONS GROUP AG"
F3C "SFC ENERGY AG-BR"
IUR "KAP AG"
DAM "DATA MODUL AG"
93M "MPH HEALTH CARE AG KONV"
OSP2 "USU SOFTWARE AG"
QSC "QSC AG"
DIS "DVS TECHNOLOGY AG"
M0Y "MYNARIC AG"
VQT "VA-Q-TEC AG"
PA8 "PAION AG"
AVES "V/O AVIAEXPORT-BRD"
M5Z "MANZ AG"
MXHN "M.A.X. AUTOMATION SE"
ADE "ADANI ENTERPRISES LTD"
WGF1 null
O2C "PETRO WELT TECHNOLOGIES AG"
S9I "STEMMER IMAGING AG"
TTR1 "TECHNOTRANS SE"
SJJ "SERVICEWARE SE"
MDG1 "MEDIGENE AG"
SW1 "SWIFT MEDIA LTD"
CRZK "CR CAPITAL REAL ESTATE AG"
FC9 "FCR IMMOBILIEN AG"
GKS "GK SOFTWARE SE"
FBEN "FYBER N.V"
HOC "HUNTER TECHNOLOGY CORP"
SWA "SCHLOSS WACHENHEIM AG"
DRJ "DE RAJ GROUP AG"
IF0 "INFLARX NV"
H24 "Generic 4th 'H2' Future"
PB9 "Generic 9th 'PB' Future"
ECK "LUDWIG BECK AM RATHAUSECK"
CSH "CENIT AG"
V3S "VECTRON SYSTEMS AG"
LOUD "DEAG DEUTSCHE ENTERTAINMENT"
MF6 "MAGFORCE AG-BEAR"
MYRK "MYHAMMER HOLDING AG"
EQS "EQUUS TOTAL RETURN INC"
M7U "NYNOMIC AG"
HMU "HMS BERGBAU AG"
EXC "EXELON CORP"
IC8 "INCITY IMMOBILIEN AG"
NP5 "NEWRON PHARMACEUTICALS SPA"
4BSB "4BASEBIO AG"
VBX "VOLTABOX AG"
SYZ "SYLOGIST LTD"
WSO1 "WALLSTREET:ONLINE AG"
MBQ "MOBOTIX AG"
VAO "VAPIANO SE"
WFS "WALLFORT FINANCIAL SERVICES"
